"File","Theorems","Defs","Lines"
"EFGKuhnFull.lean","33","14","1338"
"NashExistenceMixed.lean","32","8","819"
"EFGKuhn.lean","31","4","1067"
"EFGRefinements.lean","24","6","377"
"ProtoKuhn.lean","21","10","670"
"SequentialForm.lean","21","14","474"
"MAID_EFG.lean","20","0","530"
"GameForm.lean","19","16","532"
"EFG.lean","19","18","486"
"SequentialODP.lean","18","2","519"
"SolutionConcepts.lean","13","20","311"
"EFG_Sequential.lean","13","0","358"
"MAID.lean","11","17","329"
"ProductSimplexBrouwer.lean","10","5","195"
"CorrelatedNashMixed.lean","9","0","148"
"ProtoSPE.lean","8","1","148"
"ProtoZermelo.lean","7","3","365"
"PotentialFIP.lean","6","0","117"
"NFGExamples.lean","6","4","143"
"EFGExamples.lean","6","4","203"
"ProtoODP.lean","6","4","206"
"Rationalizability.lean","6","2","115"
"ApproximateNash.lean","6","2","95"
"TwoPlayerGame.lean","6","0","67"
"CommonKnowledge.lean","6","2","90"
"MinimaxTheorem.lean","6","0","166"
"CongestionGame.lean","6","2","181"
"CoalitionalGame.lean","5","7","198"
"EvolutionaryStability.lean","5","2","88"
"SocialChoice.lean","5","10","114"
"SymmetricGame.lean","5","2","88"
"NashProperties.lean","5","0","84"
"Regret.lean","5","0","75"
"OfEUProperties.lean","5","0","73"
"DominanceRelations.lean","5","0","61"
"NFG.lean","5","7","138"
"RepeatedGame.lean","4","5","134"
"PotentialGame.lean","4","0","85"
"OneShotDeviation.lean","4","1","265"
"VickreyAuction.lean","4","0","89"
"Zermelo.lean","4","0","230"
"PriceOfAnarchy.lean","4","0","122"
"AllPayAuction.lean","4","0","48"
"ZeroSumNash.lean","4","0","70"
"EUProperties.lean","4","0","55"
"DominanceSolvable.lean","4","0","64"
"ConstantSumNash.lean","4","0","83"
"Matching.lean","4","4","109"
"ConstantSum.lean","4","0","96"
"Bargaining.lean","4","5","158"
"GameMorphism.lean","4","4","175"
"BestResponse.lean","3","0","48"
"BestResponseDynamics.lean","3","1","68"
"SequentialZermelo.lean","3","0","103"
"GameIsomorphism.lean","3","0","76"
"TeamGame.lean","3","0","66"
"SeqProto.lean","3","6","179"
"SecurityStrategy.lean","3","0","87"
"DominanceNash.lean","3","0","59"
"DominanceSolvability.lean","3","1","67"
"TeamGameNash.lean","3","0","75"
"EFG_Proto.lean","3","0","209"
"StrictDominance.lean","3","0","50"
"MechanismDesign.lean","3","4","126"
"PotentialTeam.lean","3","0","84"
"IndividualRationality.lean","3","0","44"
"NashExistence.lean","3","0","51"
"NashPareto.lean","3","0","45"
"PrefPreorderProperties.lean","3","0","56"
"PotentialWellFounded.lean","2","1","69"
"WelfareTheorems.lean","2","0","44"
"MixedSupport.lean","2","0","65"
"VCG.lean","2","1","108"
"BayesianGame.lean","2","4","98"
"NashCorrelatedEq.lean","2","0","54"
"ZeroSum.lean","2","0","43"
"StrictNashProperties.lean","2","0","43"
"Stackelberg.lean","2","3","104"
"NFG_EFG.lean","2","0","137"
"KernelGame.lean","2","3","89"
"CorrelatedEqProperties.lean","2","0","41"
"ParetoOptimal.lean","2","0","25"
"Minimax.lean","2","2","53"
"EFG_NFG.lean","2","1","65"
"BestResponseExistence.lean","2","0","38"
"PublicGoods.lean","2","0","66"
"StochasticGame.lean","1","4","85"
"MAID_Sequential.lean","1","1","84"
"RevelationPrinciple.lean","1","3","101"
"TraceKernelGame.lean","1","3","171"
"Auction.lean","1","5","133"
"NFG_Proto.lean","0","1","64"
"MAIDExamples.lean","0","1","77"
"MAID_Proto.lean","0","1","90"
"GameProperties.lean","0","10","75"
